dataset_id,dataset_name,num_instances,num_features,num_classes,default_target_attribute,total_missing_values,percentage_missing_values,instances_with_missing_values,num_numeric_features,num_symbolic_features,percentage_numeric_features,percentage_symbolic_features,majority_class_percentage,minority_class_percentage,majority_class_size,minority_class_size,mean,std_dev,min,max,kurtosis,skewness,auto_correlation,class_entropy,model_id,model_name,accuracy,task_type
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,392,weka.A1DE,0.765823,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,393,weka.A2DE,0.882911,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,394,weka.AdaBoostM1_ADTree,0.946203,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,398,weka.AdaBoostM1_BFTree,0.949367,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,398,weka.AdaBoostM1_BFTree,0.968354,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,398,weka.AdaBoostM1_BFTree,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,376,weka.AdaBoostM1_DecisionStump,0.870253,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,404,weka.AdaBoostM1_IBk,0.977848,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,405,weka.AdaBoostM1_J48,0.990506,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,405,weka.AdaBoostM1_J48,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,405,weka.AdaBoostM1_J48,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,405,weka.AdaBoostM1_J48,0.977848,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,405,weka.AdaBoostM1_J48,0.939873,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,406,weka.AdaBoostM1_JRip,0.993671,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,407,weka.AdaBoostM1_LADTree,0.993671,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,407,weka.AdaBoostM1_LADTree,0.996835,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,407,weka.AdaBoostM1_LADTree,0.990506,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,407,weka.AdaBoostM1_LADTree,0.971519,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,407,weka.AdaBoostM1_LADTree,0.927215,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,411,weka.AdaBoostM1_LMT,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,411,weka.AdaBoostM1_LMT,0.977848,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,411,weka.AdaBoostM1_LMT,0.971519,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,411,weka.AdaBoostM1_LMT,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,413,weka.AdaBoostM1_LWL_DecisionStump,0.958861,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,413,weka.AdaBoostM1_LWL_DecisionStump,0.936709,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,413,weka.AdaBoostM1_LWL_DecisionStump,0.886076,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,413,weka.AdaBoostM1_LWL_DecisionStump,0.879747,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,417,weka.AdaBoostM1_NaiveBayes,0.914557,Supervised Classification
